Site,RR_var,Time_mean,AnualTemp_25Km,CEC_10Km,DriestQuartes_10Km,f2003_100Km,NPP03_100Km,WDeficit99_100Km,bldfie_05Km,elevation_05Km,phihox_10Km,slope_25Km,sndppt_50Km
175,-0.6212817699111068,0.8843319748253149,0.22690371548054833,-0.24782366950748935,-0.9519719483128934,0.6658484078711114,-0.96531409423563,0.2481326859292744,0.014822131593829405,-0.02180996939935544,-0.2228335927866954,0.972719269475565,0.3755397631686071
176,0.03161275777056845,-0.19001509612028922,0.22690371548054833,-0.24782366950748935,-0.9496338474205711,0.6658484078711114,-0.9850063922597231,0.2481326859292744,0.014822131593829405,-0.02180996939935544,-0.2228335927866954,0.972719269475565,0.3755397631686071
177,-0.5774359547340745,0.3758623687289221,-1.6127192996989552,-0.3250051388234152,-0.957888459865912,-0.43797625826487724,1.1017991788397152,0.05242414043706589,0.527618341068845,0.9408438298990139,0.7050599367217667,1.794792880513092,-1.0958324076000499
3,0.6956473954412767,-0.4688532672054078,-2.973130863557993,2.991828984614689,0.5045193500048283,0.2337089521082996,-0.15954856956649244,-0.9181094753564223,-3.6148481730415427,2.620336632778908,0.1548370292399735,1.557227720445455,0.46101043422934335
54,-0.46547161592363,-0.6706008851081701,0.7278156281585794,-1.7856221336605544,-0.9127232981759964,-0.8265312172521522,0.696608179964283,0.05032509397083476,1.1861044182079656,-0.6156872073557847,-0.9547806669467274,-0.8946177179440172,2.5356275828914208
55,-0.4871677576826395,-0.6246745981059153,0.4427133945606625,-1.5735207508542772,-0.9175848293575021,2.203605463831764,-2.5358324313941916,0.010596181483021036,0.9141766244479668,-0.4876692394301143,-1.1584293818976665,-0.6280556589211433,1.30223841059
57,-0.32638794708848723,-0.5481307864354906,0.6435413005788527,0.8384576835296141,1.5177990721356953,1.8978600593623172,0.6576568538551526,-1.0566296089749425,-0.43280347504008976,-0.8951556506431236,-0.6852815505522932,-0.5267786133185267,-1.09580464689138
90,0.35102109777728546,2.1145003766714265,-1.8449795007703345,0.7659265119482321,-0.2099543293523778,0.5525079974825929,-0.46949886977629296,-0.6706997617433458,-2.2792801571087713,1.630788911566369,-0.27940054814458354,1.3700252972289704,0.43683313244522953
93,-0.24099676184362823,-0.378640917736693,-0.6575904766604067,-1.0605382331080655,-0.34686131516334484,-0.38896592390920054,0.8720122066047947,0.590903790503503,0.2495964043938616,0.9536746228338067,-0.31237019630754626,-0.8158192184833134,-0.527586856936408
96,-0.7116354619584243,-0.2757541059459273,0.1620512266515865,-0.8710450424706528,-0.5733572339150471,-1.1831817700829002,1.0910684310819194,0.696189380755003,0.44497189998971054,0.5258002991184787,-0.01017739859400489,-0.8483772903747647,0.367495073870752
97,-0.019862694062396356,0.06421970692790717,0.9239154145169355,-1.331331261916344,1.4000100247696545,-0.266548691298495,1.1558773108647582,-1.0223276502241583,-0.3487843540993536,-0.8789721787635053,-1.3779315530602858,-0.7856014697307222,0.6520241340003717
99,-0.10088531033746671,-0.26382520023105593,0.893810659649326,-1.1025888368903114,1.1845060464039707,-0.22898892095258966,1.1687473550009397,-1.0253236658378586,-0.1592494767381683,-0.9059023458554569,-1.0976234972765078,-0.853557187370784,0.6937002392122035
